Unnamed: 0,link,title,category,hottness,number_of_comments,price_after_discount,price_before_discount,percentage_change_in_price,place_of_bargain_price
32,https://www.pepper.pl/promocje/telefon-smartfon-samsung-galaxy-s23-8256gb-z-ladowarka-mozliwy-cashback-100eur-od-samsunga-2957zl-684575,"Telefon Smartfon Samsung Galaxy S23 8/256GB z ładowarką, możliwy cashback 100€ od Samsunga = 2957zł.","['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony', 'Smartfony Samsung', 'Samsung Galaxy S23']",487,93,3.384zł,-1,-1,Amazon.it
33,https://www.pepper.pl/promocje/whisky-johnie-walker-red-rye-finish-684557,Whisky Johnie Walker Red Rye Finish 700ml @ Delikatesy Centrum,"['Home', 'Artykuły spożywcze', 'Napoje', 'Alkohole', 'Alkohole mocne', 'Whisky']",541,28,"45,99zł",-1,-1,Delikatesy Centrum
34,https://www.pepper.pl/promocje/lego-60392-city-motocykl-policyjny-poscig-za-samochodem-684590,LEGO 60392 City - Motocykl policyjny - pościg za samochodem,"['Home', 'Rodzina i dzieci', 'Zabawki', 'Klocki', 'LEGO']",844,77,"8,84zł",31zł,-71%,Amazon.pl
35,https://www.pepper.pl/promocje/allegro-days-girlanda-swietlna-led-15m-15-zarowek-e27-superled-684531,"Allegro Days: Girlanda świetlna LED 15m, 15 żarówek E27 Superled","['Home', 'Ogród i majsterkowanie']",546,45,"94,99zł","174,99zł",-46%,Allegro
36,https://www.pepper.pl/promocje/dekoder-canal-box-4k-hy4001cd-2-miesiecznym-dostepem-do-pakietu-canal-684508,Dekoder CANAL+ BOX 4K HY4001CD + 2-miesięcznym dostępem do pakietu CANAL+,"['Home', 'Elektronika']",557,113,"179,99zł",229zł,-21%,Neonet
37,https://www.pepper.pl/promocje/gaz-linde-do-nabicia-butli-sodastream-soda-stream-684478,GAZ LINDE DO NABICIA BUTLI SODASTREAM,"['Home', 'Artykuły spożywcze', 'Napoje']",461,160,"10,90zł",-1,-1,Allegro
38,https://www.pepper.pl/promocje/google-pixel-7-pro-amazonde-684560,"Google Pixel 7 Pro 12/128GB, 712,97 €","['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony', 'Smartfony Google']",409,71,3.188zł,-1,-1,Amazon.de
39,https://www.pepper.pl/kupony/30-zl-znizki-na-pierwsze-zakupy-w-aplikacji-amazon-mwz-120-zl-at-amazon-684516,30 zł zniżki na pierwsze zakupy w aplikacji Amazon (MWZ 120 zł) @ Amazon,"['Home', 'Elektronika']",860,42,-1,-1,-1,Amazon.pl
40,https://www.pepper.pl/promocje/smartfon-asus-rog-6-12256gb-678-50-mpix-diablo-edition-at-euro-684512,"Smartfon ASUS ROG 6 12/256GB - 6,78"" - 50 Mpix - Diablo Edition @ Euro","['Home', 'Elektronika', 'Telefony i smartfony', 'Smartfony']",462,48,3.666zł,4.746zł,-23%,RTV Euro AGD
41,https://www.pepper.pl/promocje/nirvana-in-utero-20th-anniversary-remaster-684378,Nirvana - In Utero - 20th Anniversary Remaster,"['Home', 'Kultura i rozrywka', 'Muzyka', 'CD']",466,13,"23,35zł","33,36zł",-30%,Amazon.pl
