category,comments,hotness,link,percentage_change_in_price,place_of_bargain_price,price_after_discount,price_before_discount,title,username
"Home,Artykuły spożywcze",10,330,,-34%,Lidl,"1,12zł","1,69zł",Woda mineralna Saguaro Magnez+wapń,
"Home,Moda,Obuwie",86,1191,,-1,Amazon.pl,"229,99zł",-1,Buty męskie Adidas Terrex Swift Solo 2 • 38; 42; 43 1/3; 44; 46,
"Home,Elektronika,Samsung",23,469,,-1,MediaMarkt,"0,99zł",-1,"Etui Samsung po 0.99zł (S21/22, Note20, M 11/12/21/22, A10/12/13/22/31/32/42)",
"Home,Zdrowie i uroda,Higiena i pielęgnacja",12,209,,-1,Action,"5,99zł",-1,Żel pod prysznic Umbro Action 300ml,
"Home,Artykuły spożywcze,Napoje",11,335,,-1,Żabka,"0,01zł","2,50zł",Kup wodę i złap gumę Orbit za 1 żappsa,
"Home,Artykuły spożywcze",8,289,,-1,Biedronka,"2,99zł",-1,"Pierniki w czekoladzie 2,99 zł w Biedronce",
"Home,Gaming,Gry wideo,Steam",8,228,,-1,Steam,"3,59zł",-1,"Limbo za 3,59 zł i INSIDE + LIMBO za 9,70 zł @ Steam",
"Home,Moda,Obuwie,Buty New Balance",0,195,,-1,Zalando,119zł,-1,"Buty dziecięce New Balance 570 • 1 kolor • 18 rozmiarów między: 28 a 40 • 7 rozmiarów --> płatna dostawa: +4,99 zł",
"Home,Podróże,Hotele",18,355,,-1,Itaka,1.329zł,-1,Czerwcowy urlop w Bułgarii: Złote Piaski i 4* hotel Atlas z ultra all inclusive @ Itaka,
"Home,Różne,Supermarket",15,284,,-50%,Lidl,"9,99zł","19,99zł",Sekator kowadełkowy lub nożycowy Parkside. LIDL,
"Home,Różne,Supermarket",7,287,,-50%,Kaufland,"0,79zł","1,59zł",Półbagietka wieloziarnista 1+1 GRATIS @Kaufland,
"Home,Różne,Cashback",20,400,,-1,place_of_bargain_price_not_available,-1,-1,Sinsay w Letyshops - 45% cashback (max. 100 PLN),
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",29,433,,-1,Eneba,"24,26zł",-1,Assassin's Creed: Odyssey (Ultimate Edition) XBOX LIVE Key ARGENTINA VPN @ Xbox One,
"Home,Rodzina i dzieci,Zabawki",19,226,,-60%,Limango,"239,99zł",599zł,Dziecięca kuchnia z pralką Kidkraft 10240 za 240zł (dwustronna konstrukcja) @ Limango,
"Home,Moda,Obuwie,Buty Nike",19,285,,-1,Zalando,375zł,-1,Buty damskie Nike AIR MAX 270,
"Home,Usługi i subskrypcje,Usługi kurierskie",6,299,,-1,Aptelia,-1,-1,Apteka Aptelia - dziś do 22:00 darmowa dostawa DHL/InPost (MWZ 49 zł),
"Home,Moda,Obuwie,Sneakersy",31,205,,-44%,Zalando,290zł,519zł,adidas OZWEEGO - Sneakersy niskie szare,
"Home,Artykuły spożywcze,Jedzenie,Owoce i warzywa,Owoce",31,215,,-36%,Market Jan,"8,99zł",14zł,Truskawki 1kg / 8.99 @Market Jan,
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",5,241,,-1,Eneba,"19,78zł",-1,Assassin's Creed: Origins (Gold Edition) XBOX LIVE Key ARGENTINA VPN @ Xbox One,
"Home,Elektronika,Komputery i tablety,Podzespoły komputerowe,Karty graficzne",14,303,,-1,Sferis,909zł,-1,Karta graficzna Asrock Radeon RX 6600 Challenger D 8GB,
"Home,Gaming,Gry wideo,Kody i doładowania,Xbox Live Gold",53,268,,-1,Eneba,"23,09zł",-1,Shadow of the Tomb Raider (Definitive Edition) XBOX LIVE Key TURKEY VPN @ Gra Xbox One,
"Home,Różne,Supermarket",0,199,,-50%,Kaufland,3zł,6zł,K-Classic Słone przekąski mix 1+1 - Kaufland 250 g,
